time,delta,elbow_angle,elbow_velocity,elbow_torque
6.566,0.016,180.0,0.0,-2.2043642384652358E-17
6.583,0.017,180.0,0.0,-2.2043642384652358E-17
6.599,0.016,180.0,0.0,-2.2043642384652358E-17
6.616,0.017,180.0,0.0,-2.2043642384652358E-17
6.632,0.016,180.0,0.0,-2.2043642384652358E-17
6.648,0.016,180.0,0.0,-2.2043642384652358E-17
6.665,0.017,180.0,0.0,-2.2043642384652358E-17
6.681,0.016,180.0,0.0,-2.2043642384652358E-17
6.697,0.016,180.0,0.0,-2.2043642384652358E-17
6.714,0.017,180.0,0.0,-2.2043642384652358E-17
6.73,0.016,180.0,0.0,-2.2043642384652358E-17
6.746,0.016,180.0,0.0,-2.2043642384652358E-17
6.762,0.016,180.0,0.0,-2.2043642384652358E-17
6.778,0.016,180.0,0.0,-2.2043642384652358E-17
6.795,0.017,180.0,0.0,-2.2043642384652358E-17
6.811,0.016,180.0,0.0,-2.2043642384652358E-17
6.828,0.017,180.0,0.0,-2.2043642384652358E-17
6.844,0.016,180.0,0.0,-2.2043642384652358E-17
6.86,0.016,180.0,0.0,-2.2043642384652358E-17
6.877,0.017,180.0,0.0,-2.2043642384652358E-17
6.893,0.016,180.0,0.0,-2.2043642384652358E-17
6.91,0.017,180.0,0.0,-2.2043642384652358E-17
6.926,0.016,180.0,0.0,-2.2043642384652358E-17
6.942,0.016,180.0,0.0,-2.2043642384652358E-17
6.959,0.017,180.0,0.0,-2.2043642384652358E-17
6.975,0.016,180.0,0.0,-2.2043642384652358E-17
6.991,0.016,180.0,0.0,-2.2043642384652358E-17
7.008,0.017,179.5,-5.88235294117647,-0.0015707763897073925
7.024,0.016,180.0,0.3676470588235297,-2.2043642384652358E-17
7.041,0.017,180.0,0.3676470588235297,-2.2043642384652358E-17
7.057,0.016,180.0,0.3676470588235297,-2.2043642384652358E-17
7.073,0.016,180.0,0.3676470588235297,-2.2043642384652358E-17
7.09,0.017,180.0,6.25,-2.2043642384652358E-17
7.106,0.016,180.0,0.0,-2.2043642384652358E-17
7.122,0.016,180.0,0.0,-2.2043642384652358E-17
7.139,0.017,180.0,0.0,-2.2043642384652358E-17
7.155,0.016,180.0,0.0,-2.2043642384652358E-17
7.172,0.017,180.0,0.0,-2.2043642384652358E-17
7.188,0.016,180.0,0.0,-2.2043642384652358E-17
7.204,0.016,180.0,0.0,-2.2043642384652358E-17
7.221,0.017,180.0,0.0,-2.2043642384652358E-17
7.237,0.016,180.0,0.0,-2.2043642384652358E-17
7.254,0.017,180.0,0.0,-2.2043642384652358E-17
7.27,0.016,180.0,0.0,-2.2043642384652358E-17
7.286,0.016,180.0,0.0,-2.2043642384652358E-17
7.303,0.017,180.0,0.0,-2.2043642384652358E-17
7.319,0.016,180.0,0.0,-2.2043642384652358E-17
7.335,0.016,180.0,0.0,-2.2043642384652358E-17
7.352,0.017,180.0,0.0,-2.2043642384652358E-17
7.368,0.016,180.0,0.0,-2.2043642384652358E-17
7.385,0.017,180.0,0.0,-2.2043642384652358E-17
7.401,0.016,180.0,0.0,-2.2043642384652358E-17
7.417,0.016,180.0,0.0,-2.2043642384652358E-17
7.434,0.017,180.0,0.0,-2.2043642384652358E-17
7.45,0.016,179.75,-3.125,-7.85395671254356E-4
7.467,0.017,179.75,-3.125,-7.85395671254356E-4
7.483,0.016,180.0,0.0,-2.2043642384652358E-17
7.499,0.016,180.0,0.0,-2.2043642384652358E-17
7.516,0.017,180.0,0.0,-2.2043642384652358E-17
7.532,0.016,179.75,0.0,-7.85395671254356E-4
7.548,0.016,180.0,3.125,-2.2043642384652358E-17
7.565,0.017,180.0,0.0,-2.2043642384652358E-17
7.581,0.016,179.25,-9.375,-0.0023561272028420344
7.598,0.017,179.5,-6.433823529411765,-0.0015707763897073925
7.614,0.016,179.25,-6.433823529411765,-0.0023561272028420344
7.63,0.016,179.0,-12.683823529411764,-0.003141433158711019
